Reference, Quantity,, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
C2 C3 ,2,16,22pF,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,~,,,,,,
C4 ,1,5,10uH,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~,,,,,,
C1 C5 C6 C7 C8 C9 ,6,20,100nF,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,~,,,,,,
J1 ,1,,ICSP INTERFACE,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,,
J2 ,1,,I2C INTERFACE MSTR,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal,~,,,,,,
J3 ,1,,I2C INTERFACE SLAV,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Horizontal,~,,,,,,
J4 ,1,,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal,~,,,,,,
J5 ,1,,Conn_01x02_Female,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal,~,,,,,,
J6 ,1,,Conn_01x06_Female,MOUSERfootprintANDsymbol:HDRV6W67P254_2X3_762X483X858P,~,,,,,,
L1 ,1,5,10uH,Inductor_THT:L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC,~,,,,,,
R1 ,1,,0,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,,,,
R19 R20 ,2,,27k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,,,,
R3 R4 R5 R6 R21 ,5,,4.7k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,,,,
R22 R23 ,2,,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,,,,
R7 R10 R13 R16 ,4,,165,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,,,,
R8 R11 R14 R17 ,4,,155,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,,,,
R9 R12 R15 R18 ,4,,100,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,,,,
S1 S2 S3 S4 ,4,8,228CMVARGBFR,flex-Ambisonic:228CMVARGBFR,https://www.mouser.co.za/datasheet/2/96/228C-1371171.pdf,"Tactile Switches Color Red,Green,Blue SMD Gullwing",7.3,CTS,228CMVARGBFR,774-228CMVARGBFR,https://www.mouser.co.uk/ProductDetail/CTS-Electronic-Components/228CMVARGBFR?qs=gTYE2QTfZfSFpUQ%252Bb6QA4w%3D%3D
SW1 ,1,4,Rotary_Encoder_Switch,MOUSERfootprintANDsymbol:PEC11R4230KS0024,~,,,,,,
U1 ,1,10,ATtiny861V-10SU,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2588-8-bit-avr-microcontrollers-tinyavr-attiny261-attiny461-attiny861_datasheet.pdf,,,,,,
U2 U3 ,2,8,TPIC6C595-SOIC,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,https://www.mouser.ph/datasheet/2/389/cd00020664-1796042.pdf,,,,,,
Y1 ,1,5,Crystal,Crystal:Crystal_HC49-U_Vertical,~,,,,,,
