Source:,C:\Users\tirii\Documents\Ambisonic\a3-hardware\a3motion\v03\Mainboard-pcb\controller_motion_pcb.kicad_sch,,,,,,,,,,,
Date:,27/09/2022 13:00:52,,,,,,,,,,,
Tool:,Eeschema (6.0.0),,,,,,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,
Component Count:,42,,,,,,,,,,,
,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock
,,C1,100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,DK:1206B104K500BD,,,,,,
,,C2,100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,DK:1206B104K500BD,,,,,,
,,C3,100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,DK:1206B104K500BD,,,,,,
,,C4,100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,DK:1206B104K500BD,,,,,,
,,C5,10uF,Device:CP,Capacitor_THT:CP_Radial_D4.0mm_P1.50mm,DK:35ML10MEFCT54X7,,,,,,
,,C6,100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,DK:1206B104K500BD,,,,,,
,,J1,SPI_Female,Connector:Conn_01x05_Female,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Horizontal,DK:PPTC051LGBN-RC,,,,,,
,,J2,SPI_Male,Connector:Conn_01x05_Male,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal,DK:61300511021,,,,,,
,,J3,Conn_01x05,Connector:Conn_01x05_Female,3dAudioFoot:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,DK:B5B-XH-A,,,,,,
,,J4,UPDI_Interface,Connector:Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,DK:61300311121,,,,,,
,,J5,Programm_Jumper,Connector:Conn_02x02_Male,Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical,DK:61300421121,,,,,,
,,R1,0R,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R2,0R,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R3,4k7,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R4,4k7,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R5,165,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R6,155,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R7,100,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R8,165,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R9,155,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R10,100,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R11,165,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R12,155,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R13,100,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R14,165,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R15,155,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
,,R16,100,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1206 Resistor 5%,,,,,,
